                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1912,                 1.1548,                 1.1777,                0.90501,                0.93725,                0.94896,                0.63046,                 1.1437,                0.91539,                 1.1171,             0.00015077,             0.00015077,             0.00015077
                     35,                  1.224,                 1.1842,                 1.1875,                0.90195,                0.93891,                0.94807,                0.62557,                 1.1643,                0.91145,                  1.118,             0.00014216,             0.00014216,             0.00014216
                     36,                 1.1878,                 1.1337,                 1.1594,                0.92187,                0.92711,                 0.9494,                0.63465,                 1.1498,                0.90475,                 1.1239,             0.00013355,             0.00013355,             0.00013355
                     37,                 1.1604,                 1.1109,                 1.1823,                0.90659,                0.93429,                0.94854,                0.63205,                 1.1589,                0.90592,                 1.1302,             0.00012493,             0.00012493,             0.00012493
                     38,                  1.168,                 1.1095,                 1.1834,                0.91205,                0.94241,                0.95429,                0.65478,                 1.1079,                0.88024,                 1.1104,             0.00011632,             0.00011632,             0.00011632
                     39,                 1.1631,                 1.1484,                 1.1771,                0.91663,                0.94721,                0.95504,                0.65539,                 1.1054,                0.88178,                 1.1108,             0.00010771,             0.00010771,             0.00010771
                     40,                 1.1671,                 1.1211,                 1.1571,                0.91597,                0.94149,                0.95403,                0.64774,                 1.0992,                0.88452,                 1.1077,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     41,                 1.1808,                 1.1032,                 1.1719,                0.91611,                0.94162,                 0.9544,                0.64782,                 1.1075,                0.87825,                 1.1022,              9.048e-05,              9.048e-05,              9.048e-05
                     42,                  1.176,                  1.116,                 1.1621,                 0.9183,                0.94482,                0.95557,                 0.6547,                 1.1041,                0.86489,                 1.0947,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     43,                 1.1471,                 1.1253,                 1.1411,                0.91939,                0.93634,                0.95566,                0.66473,                 1.0995,                0.86102,                  1.094,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     44,                 1.1398,                 1.0819,                 1.1536,                0.91185,                0.94551,                0.95597,                0.66671,                 1.0999,                0.85978,                 1.0938,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     45,                 1.1467,                  1.081,                 1.1606,                 0.9125,                0.94721,                0.95659,                0.66667,                 1.0903,                0.85257,                 1.0917,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     46,                 1.1532,                 1.1113,                 1.1589,                0.91689,                0.95381,                 0.9578,                0.67007,                 1.0818,                0.84674,                 1.0912,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     47,                 1.0929,                 1.0563,                 1.1549,                0.91996,                0.95295,                0.95761,                0.67221,                 1.0829,                0.84526,                 1.0907,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     48,                  1.128,                 1.0504,                 1.1281,                0.92052,                 0.9514,                0.95654,                0.67294,                 1.0819,                0.84248,                 1.0898,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     49,                 1.1342,                 1.0571,                  1.134,                0.92156,                0.94989,                0.95687,                0.67533,                 1.0817,                0.84085,                 1.0899,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     50,                 1.1385,                 1.0876,                 1.1418,                0.92275,                0.94838,                0.95674,                0.67403,                 1.0813,                0.83888,                 1.0903,             1.2963e-05,             1.2963e-05,             1.2963e-05
