                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4112,                  1.914,                0.89303,                0.94681,                0.88659,                 0.9368,                0.54642,                 1.3286,                 1.4925,                0.86963,              0.0001634,              0.0001634,              0.0001634
                     36,                  1.423,                 1.7485,                0.89257,                 0.8853,                0.88123,                0.92485,                0.56337,                 1.3029,                 1.4822,                0.86335,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.4271,                 1.8399,                0.90972,                0.91205,                0.87411,                0.92586,                0.55169,                 1.3076,                 1.4662,                0.86399,              0.0001436,              0.0001436,              0.0001436
                     38,                 1.4303,                 1.8054,                 0.9017,                0.92236,                0.88506,                0.93942,                0.56522,                 1.2877,                 1.4434,                  0.863,              0.0001337,              0.0001337,              0.0001337
                     39,                  1.398,                  1.787,                0.88044,                0.94458,                0.88506,                0.94878,                0.56062,                 1.2964,                 1.4149,                0.86312,              0.0001238,              0.0001238,              0.0001238
                     40,                 1.3444,                 1.5411,                0.88877,                0.93242,                0.89873,                0.94701,                0.57243,                 1.2802,                 1.3772,                0.86504,              0.0001139,              0.0001139,              0.0001139
                     41,                  1.426,                 3.3321,                0.90062,                0.92596,                0.88889,                0.94395,                0.57389,                 1.2799,                 1.3792,                0.86738,               0.000104,               0.000104,               0.000104
                     42,                 1.3922,                 3.2002,                0.86151,                 0.9207,                0.88889,                0.94002,                0.57633,                 1.2687,                 1.3656,                0.86728,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                 1.4166,                 4.4494,                0.87807,                0.92078,                0.89061,                0.93654,                0.57502,                 1.2784,                 1.3628,                0.86814,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                 1.4007,                 3.1505,                0.86777,                0.90166,                0.88889,                0.93411,                0.57109,                 1.2847,                 1.3405,                0.86691,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                  1.411,                 2.8303,                0.89475,                0.90551,                0.89272,                 0.9367,                0.57402,                 1.2809,                 1.3385,                0.86579,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                 1.4311,                 3.7035,                0.91695,                0.91653,                0.88353,                0.93911,                0.57081,                 1.2823,                   1.34,                0.86719,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                 1.4991,                 3.6326,                 0.8841,                0.91982,                0.87907,                0.93954,                0.56745,                 1.2921,                  1.349,                0.86784,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                 1.4414,                 2.9875,                0.89329,                0.92299,                0.88123,                0.94004,                0.56479,                 1.3018,                 1.3492,                0.86807,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                 1.3483,                 2.7539,                0.85584,                0.91973,                  0.878,                0.93916,                0.56641,                  1.296,                 1.3424,                0.86717,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                 1.3913,                 3.3753,                0.87156,                0.92301,                0.89655,                0.94104,                0.57199,                 1.2856,                 1.3335,                 0.8659,               1.49e-05,               1.49e-05,               1.49e-05
